Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,Population Density,GDP_per_capita_PPP,Population,Log_Population
Libya,73.2,75.3,71.2,77.5,5780434,4,12641.51,7135138.0,6.8534023771786154
Lithuania,76.3,80.9,71.6,68.2,1929035,45,46575.69,2794443.0,6.44629525546635
Luxembourg,82.5,84.1,80.9,87.2,593272,263,137947.34,640233.0,5.806338055544667
Macao,83.4,85.5,81.3,97.1,701381,24067,74177.78,694363.0,5.8415865708609065
Madagascar,64.0,65.8,62.3,40.3,13199949,56,1599.4127,29691033.0,7.472625307680096
Malawi,67.7,71.0,64.4,19.8,4407124,236,1687.5936,20047218.0,7.302054113062053
Malaysia,77.0,79.7,74.6,77.4,27844592,110,29822.85,34282367.0,7.535070799819129
Maldives,81.5,83.2,80.2,39.6,209810,1766,19052.623,516123.0,5.712753212975233
Mali,60.9,62.4,59.5,44.4,11190626,21,2347.6274,22388587.0,7.350026685027567
Malta,83.6,85.5,81.7,76.5,417398,1704,58199.4,524335.0,5.719608848367043
